ABL;Ablaica;Аблаица
ACH;Achos;Ачос
ACL;Aclana;Ацлана
AFR;Afrad;Афрад
APL;Aplad;Аплад
APR;Apristan;Апристан
ASC;Asceurus;Асцеурус
ASH;Asheunia;Ашеуниа
ASK;Askana;Аскана
ASM;Asmal;Асмал
AST;Astines;Астинес
AWH;Awhos;Авхос
BES;Beswos;Бесвос
BRA;Bracia;Брациа
BRL;Brielor;Бриелор
CHU;Chuycor;Чуыцор
DRL;Draule;Драуле
DRD;Druador;Друадор
DUT;Dutriagro;Дутриагро
ECH;Echistan;Ечистан
EFL;Eflad;Ефлад
EFR;Efrain;Ефраин
EGR;Egraoria;Еграориа
EPL;Eplal;Еплал
ESH;Eshea;Ешеа
ESK;Eskar;Ескар
ESM;Esmines;Есминес
ESN;Esnon;Эснон
ESP;Espela;Еспела
ESW;Eswea;Есвеа
ETR;Etria;Етриа
FAS;Fastriura;Фастриура
FLE;Fleibia;Флеибиа
FLI;Fliania;Флианиа
FLO;Flonia;Флониа
FOS;Foswela;Фосвела
FRI;Frieze;Фриезе
FRU;Fruestein;Фруестеин
FUG;Fugrosal;Фугросал
GEF;Geflos;Гефлос
GOP;Goplines;Гоплинес
GRE;Greotan;Греотан
GRT;Gron Trait;Грон Траит
GRU;Gruoria;Груориа
HAB;Hablar;Хаблар
JOS;Joshus;Йошус
JUG;Juglar;Юглар
JUS;Juswiagro;Юсвиагро
KUF;Kufriesil;Куфриесил
KUS;Kushiastan;Кушиастан
LAB;Labruedan;Лабруедан
LUS;Luscijan;Лусциян
NUC;Nucluaqua;Нуцлуаква
NUG;Nugrouwana;Нугроувана
NUS;Nuscela;Нусцела
OBR;Obra;Обра
OFG;Ofruonia;Офруониа
OGR;Ogrus;Огрус
OPL;Oplistan;Оплистан
OSH;Oshon;Ошон
OST;Ostegro;Остегро
OTR;Otrain;Отраин
PAF;Pafroeca;Пафроеца
PAS;Pascietan;Пасциетан
PEB;Peblal;Пеблал
PEC;Pecruagua;Пецруагуа
PLA;Plaeso;Плаесо
PLI;Pliebia;Плиебиа
POS;Poshia;Пошиа
PUS;Puswaonia;Пусваониа
QAT;Qatreavania;Кватреаваниа
QUB;Qubrabar;Квубрабар
QUD;Qudrijan;Квудриян
ROB;Roblieca;Роблиеца
ROS;Rosheule;Рошеуле
SAW;Sawhuland;Савхуланд
SED;Sedra;Седра
SHI;Shiai Trurg;Шиаи Трург
SHO;Shoicor;Шоицор
SHU;Shuosau;Шуосау
SMA;Sma Flus;Сма Флус
SME;Smeurus;Смеурус
SNA;Snauvania;Снауваниа
SNE;Sneolor;Снеолор
SNI;Snistan;Снистан
SNU;Snuatan;Снуатан
STR;Striulia;Стриулиа
SWA;Swaudor;Сваудор
TAC;Tacreonia;Тацреониа
TES;Tespos;Теспос
THA;Thaodan;Тхаодан
THE;Theis Cresh;Тхеис Цреш
TRE;Tres Dror;Трес Дрор
UCH;Uchon;Учон
UCL;Uclaria;Уцлариа
UCR;Ucren;Уцрен
UPR;Uprait;Упраит
USH;Ushax;Ушаx
USM;Usmistan;Усмистан
USP;Uspya;Успя
VES;Vestus;Вестус
VUB;Vubrana;Вубрана
VUC;Vucheibar;Вучеибар
VUG;Vuglon;Вуглон
WHA;Whairus;Вхаирус
WUS;Wushein;Вушеин
YAS;Yaswium;Ясвиум
YEC;Yecristan;Иецристан
ZAS;Zaspeoria;Заспеориа
